SKU,Product Name,Competitor,Competitor Price,Comp Rating,Comp Review Count,Observation Date
SKU-1009,Phone Stand,RivalMart,211.22,4.7,491,2024-03-03
SKU-1009,Phone Stand,ShopNow,194.18,3.2,962,2024-03-31
SKU-1009,Phone Stand,BestDeals,189.52,3.0,627,2024-01-13
SKU-1009,Phone Stand,QuickCart,189.08,3.0,1573,2024-03-26
SKU-1010,Slim Fit Jeans,RivalMart,34.78,4.2,2335,2024-01-22
SKU-1010,Slim Fit Jeans,ShopNow,56.44,3.9,1545,2024-02-29
SKU-1010,Slim Fit Jeans,BestDeals,57.13,4.2,116,2024-03-10
SKU-1010,Slim Fit Jeans,QuickCart,52.79,3.1,969,2024-03-10
SKU-1011,Graphic Tee,RivalMart,69.49,4.9,1969,2024-01-01
SKU-1011,Graphic Tee,ShopNow,76.69,4.5,1462,2024-02-27
SKU-1011,Graphic Tee,BestDeals,71.21,3.3,1470,2024-02-24
SKU-1011,Graphic Tee,QuickCart,61.13,4.7,2486,2024-03-24
SKU-1012,Hoodie,RivalMart,22.22,3.4,1853,2024-03-29
SKU-1012,Hoodie,ShopNow,17.16,3.3,2321,2024-03-30
SKU-1012,Hoodie,BestDeals,19.27,4.5,647,2024-01-30
SKU-1012,Hoodie,QuickCart,20.39,4.8,594,2024-01-08
SKU-1013,Running Shorts,RivalMart,73.29,4.1,313,2024-02-03
SKU-1013,Running Shorts,ShopNow,77.34,4.1,101,2024-03-24
SKU-1013,Running Shorts,BestDeals,71.84,4.4,572,2024-03-07
SKU-1013,Running Shorts,QuickCart,101.73,4.1,969,2024-03-14
SKU-1014,Wool Sweater,RivalMart,176.21,2.9,1974,2024-01-29
SKU-1014,Wool Sweater,ShopNow,123.68,3.7,1315,2024-01-28
SKU-1014,Wool Sweater,BestDeals,176.01,3.9,219,2024-01-23
SKU-1014,Wool Sweater,QuickCart,157.62,3.6,2359,2024-03-31
SKU-1015,Denim Jacket,RivalMart,46.68,4.0,1361,2024-01-24
SKU-1015,Denim Jacket,ShopNow,42.66,4.2,463,2024-03-22
SKU-1015,Denim Jacket,BestDeals,61.43,4.2,1245,2024-02-09
SKU-1015,Denim Jacket,QuickCart,57.27,3.8,583,2024-01-01
SKU-1016,Yoga Pants,RivalMart,199.91,3.6,2255,2024-02-29
SKU-1016,Yoga Pants,ShopNow,155.48,4.2,701,2024-01-14
SKU-1016,Yoga Pants,BestDeals,228.26,3.8,228,2024-01-18
SKU-1016,Yoga Pants,QuickCart,189.42,4.4,2450,2024-03-08
SKU-1017,Baseball Cap,RivalMart,55.01,2.9,860,2024-01-23
SKU-1017,Baseball Cap,ShopNow,47.59,3.0,218,2024-01-30
SKU-1017,Baseball Cap,BestDeals,67.61,3.9,281,2024-01-08
SKU-1017,Baseball Cap,QuickCart,78.59,3.2,1404,2024-02-27
SKU-1018,Sneakers,RivalMart,101.47,4.7,473,2024-01-20
SKU-1018,Sneakers,ShopNow,107.28,2.9,233,2024-03-04
SKU-1018,Sneakers,BestDeals,125.68,4.4,871,2024-01-27
SKU-1018,Sneakers,QuickCart,122.31,3.1,428,2024-02-29
SKU-1019,Canvas Tote Bag,RivalMart,151.3,4.6,718,2024-01-16
SKU-1019,Canvas Tote Bag,ShopNow,192.91,3.4,661,2024-01-13
SKU-1019,Canvas Tote Bag,BestDeals,188.67,3.4,2368,2024-02-14
SKU-1019,Canvas Tote Bag,QuickCart,165.3,4.8,1440,2024-02-20
SKU-1020,Coffee Maker,RivalMart,27.28,4.1,1340,2024-03-17
SKU-1020,Coffee Maker,ShopNow,25.2,4.6,312,2024-02-08
SKU-1020,Coffee Maker,BestDeals,32.85,4.4,1756,2024-01-26
SKU-1020,Coffee Maker,QuickCart,37.08,3.5,1714,2024-02-07
SKU-1021,Air Fryer,RivalMart,111.79,3.9,1281,2024-03-04
SKU-1021,Air Fryer,ShopNow,95.41,4.7,1329,2024-03-27
SKU-1021,Air Fryer,BestDeals,98.35,3.5,2301,2024-02-22
SKU-1021,Air Fryer,QuickCart,116.32,3.6,2458,2024-03-15
SKU-1022,Blender,RivalMart,25.55,4.6,277,2024-01-13
SKU-1022,Blender,ShopNow,25.02,3.5,567,2024-02-12
SKU-1022,Blender,BestDeals,25.54,2.8,683,2024-02-24
SKU-1022,Blender,QuickCart,23.53,4.1,194,2024-03-10
SKU-1023,Non-stick Pan,RivalMart,54.75,4.2,1673,2024-01-01
SKU-1023,Non-stick Pan,ShopNow,77.6,3.3,756,2024-03-05
SKU-1023,Non-stick Pan,BestDeals,66.22,3.0,587,2024-02-29
SKU-1023,Non-stick Pan,QuickCart,64.77,2.9,651,2024-01-24
SKU-1024,Cutting Board,RivalMart,108.31,3.2,923,2024-03-12
SKU-1024,Cutting Board,ShopNow,89.29,3.4,1570,2024-01-18
SKU-1024,Cutting Board,BestDeals,141.57,3.3,397,2024-02-07
SKU-1024,Cutting Board,QuickCart,118.75,4.0,1935,2024-03-21
SKU-1025,Knife Set,RivalMart,173.53,3.1,2451,2024-02-12
SKU-1025,Knife Set,ShopNow,193.61,4.3,2242,2024-02-10
SKU-1025,Knife Set,BestDeals,187.92,3.5,1206,2024-03-14
SKU-1025,Knife Set,QuickCart,229.95,3.7,1428,2024-01-29
SKU-1026,Dish Rack,RivalMart,129.6,3.1,2258,2024-03-01
SKU-1026,Dish Rack,ShopNow,114.14,3.0,33,2024-03-14
SKU-1026,Dish Rack,BestDeals,116.29,4.0,2038,2024-03-26
SKU-1026,Dish Rack,QuickCart,95.56,3.3,264,2024-01-16
SKU-1027,Storage Bins,RivalMart,27.23,3.3,1740,2024-01-04
SKU-1027,Storage Bins,ShopNow,35.59,4.8,225,2024-02-10
SKU-1027,Storage Bins,BestDeals,37.4,4.2,1324,2024-03-18
SKU-1027,Storage Bins,QuickCart,38.82,4.1,1857,2024-03-24
SKU-1028,Throw Pillow,RivalMart,214.49,2.9,1488,2024-03-19
SKU-1028,Throw Pillow,ShopNow,173.42,3.3,1196,2024-02-15
SKU-1028,Throw Pillow,BestDeals,182.98,3.2,72,2024-02-08
SKU-1028,Throw Pillow,QuickCart,144.86,4.5,2109,2024-01-24
SKU-1029,Scented Candle,RivalMart,151.47,3.5,2340,2024-01-05
SKU-1029,Scented Candle,ShopNow,172.78,3.2,1352,2024-01-05
SKU-1029,Scented Candle,BestDeals,163.37,3.1,499,2024-03-18
SKU-1029,Scented Candle,QuickCart,114.65,3.8,1838,2024-02-29
SKU-1030,Vitamin C Serum,RivalMart,67.79,4.5,2377,2024-02-18
SKU-1030,Vitamin C Serum,ShopNow,58.94,4.9,1651,2024-01-12
SKU-1030,Vitamin C Serum,BestDeals,65.79,4.0,466,2024-01-28
SKU-1030,Vitamin C Serum,QuickCart,61.76,3.2,2224,2024-02-03
SKU-1031,SPF Moisturizer,RivalMart,263.53,3.6,2466,2024-02-10
SKU-1031,SPF Moisturizer,ShopNow,285.42,4.0,1497,2024-03-09
SKU-1031,SPF Moisturizer,BestDeals,284.4,3.8,257,2024-03-29
SKU-1031,SPF Moisturizer,QuickCart,219.89,4.7,1708,2024-03-17
SKU-1032,Shampoo Bar,RivalMart,261.82,4.5,1596,2024-03-13
SKU-1032,Shampoo Bar,ShopNow,243.24,4.1,1786,2024-01-03
SKU-1032,Shampoo Bar,BestDeals,263.17,3.8,514,2024-01-03
SKU-1032,Shampoo Bar,QuickCart,169.12,3.5,320,2024-03-25
SKU-1033,Electric Toothbrush,RivalMart,184.03,3.6,2406,2024-03-31
SKU-1033,Electric Toothbrush,ShopNow,255.97,3.5,1927,2024-01-27
SKU-1033,Electric Toothbrush,BestDeals,247.69,4.6,2308,2024-02-14
SKU-1033,Electric Toothbrush,QuickCart,272.79,3.2,1957,2024-02-15
SKU-1034,Face Mask Kit,RivalMart,202.86,4.0,353,2024-02-01
SKU-1034,Face Mask Kit,ShopNow,219.09,4.7,2170,2024-03-04
SKU-1034,Face Mask Kit,BestDeals,232.66,4.0,367,2024-03-21
SKU-1034,Face Mask Kit,QuickCart,224.1,3.1,949,2024-01-30
SKU-1035,Lip Balm Set,RivalMart,113.19,4.6,659,2024-01-27
SKU-1035,Lip Balm Set,ShopNow,83.89,3.3,1133,2024-01-11
SKU-1035,Lip Balm Set,BestDeals,104.96,2.8,1910,2024-01-13
SKU-1035,Lip Balm Set,QuickCart,81.06,4.4,1709,2024-01-31
SKU-1036,Body Lotion,RivalMart,42.86,4.4,172,2024-03-06
SKU-1036,Body Lotion,ShopNow,54.62,4.2,710,2024-01-23
SKU-1036,Body Lotion,BestDeals,54.9,3.2,226,2024-02-09
SKU-1036,Body Lotion,QuickCart,43.75,4.2,984,2024-02-10
SKU-1037,Perfume Roller,RivalMart,25.64,3.9,2306,2024-01-13
SKU-1037,Perfume Roller,ShopNow,30.46,4.0,1953,2024-01-15
SKU-1037,Perfume Roller,BestDeals,36.63,4.5,583,2024-03-26
SKU-1037,Perfume Roller,QuickCart,37.7,2.8,768,2024-03-06
SKU-1038,Hair Ties Pack,RivalMart,76.16,3.4,404,2024-03-04
SKU-1038,Hair Ties Pack,ShopNow,65.51,3.9,919,2024-03-21
SKU-1038,Hair Ties Pack,BestDeals,96.98,3.8,1134,2024-01-27
SKU-1038,Hair Ties Pack,QuickCart,74.58,4.9,247,2024-02-13
SKU-1039,Nail Polish Set,RivalMart,212.68,4.0,1365,2024-03-31
SKU-1039,Nail Polish Set,ShopNow,219.14,3.8,918,2024-02-01
SKU-1039,Nail Polish Set,BestDeals,230.05,3.3,2056,2024-01-21
SKU-1039,Nail Polish Set,QuickCart,214.69,3.0,1375,2024-01-20
SKU-1040,Resistance Bands,RivalMart,19.76,4.1,2270,2024-02-17
SKU-1040,Resistance Bands,ShopNow,23.37,3.2,383,2024-02-19
SKU-1040,Resistance Bands,BestDeals,22.94,4.1,1713,2024-01-22
SKU-1040,Resistance Bands,QuickCart,14.43,4.8,548,2024-02-04
SKU-1041,Yoga Mat,RivalMart,77.1,3.7,1388,2024-03-26
SKU-1041,Yoga Mat,ShopNow,118.33,3.1,2360,2024-01-17
SKU-1041,Yoga Mat,BestDeals,82.53,4.7,1367,2024-01-06
SKU-1041,Yoga Mat,QuickCart,108.92,3.0,1114,2024-02-02
SKU-1042,Water Bottle,RivalMart,239.4,3.9,2380,2024-02-11
SKU-1042,Water Bottle,ShopNow,150.81,4.5,343,2024-03-08
SKU-1042,Water Bottle,BestDeals,176.32,3.5,2396,2024-02-05
SKU-1042,Water Bottle,QuickCart,220.76,3.1,1212,2024-02-29
SKU-1043,Jump Rope,RivalMart,131.84,3.4,1031,2024-02-09
SKU-1043,Jump Rope,ShopNow,140.23,3.7,1482,2024-02-22
SKU-1043,Jump Rope,BestDeals,97.42,4.0,1081,2024-02-19
SKU-1043,Jump Rope,QuickCart,102.74,3.4,1254,2024-02-23
SKU-1044,Foam Roller,RivalMart,158.99,3.8,2121,2024-01-09
SKU-1044,Foam Roller,ShopNow,166.56,3.1,556,2024-03-31
SKU-1044,Foam Roller,BestDeals,173.03,3.4,1307,2024-01-03
SKU-1044,Foam Roller,QuickCart,172.84,4.7,1029,2024-01-31
SKU-1045,Dumbbell Set,RivalMart,157.26,4.7,1208,2024-01-20
SKU-1045,Dumbbell Set,ShopNow,99.91,3.3,1794,2024-03-30
SKU-1045,Dumbbell Set,BestDeals,133.69,3.5,2163,2024-01-29
SKU-1045,Dumbbell Set,QuickCart,134.06,3.8,547,2024-02-26
SKU-1046,Cycling Gloves,RivalMart,129.88,3.3,625,2024-01-21
SKU-1046,Cycling Gloves,ShopNow,102.0,4.9,11,2024-01-27
SKU-1046,Cycling Gloves,BestDeals,136.5,3.4,406,2024-01-24
SKU-1046,Cycling Gloves,QuickCart,103.77,3.2,1869,2024-01-19
SKU-1047,Hiking Socks,RivalMart,58.42,4.7,2459,2024-03-02
SKU-1047,Hiking Socks,ShopNow,69.84,2.9,217,2024-02-24
SKU-1047,Hiking Socks,BestDeals,65.71,4.1,2479,2024-03-12
SKU-1047,Hiking Socks,QuickCart,81.9,4.8,864,2024-01-29
SKU-1048,Gym Bag,RivalMart,124.77,3.0,7,2024-03-08
SKU-1048,Gym Bag,ShopNow,93.55,4.8,1889,2024-02-16
SKU-1048,Gym Bag,BestDeals,94.3,4.8,932,2024-01-21
SKU-1048,Gym Bag,QuickCart,124.33,4.5,1518,2024-01-13
SKU-1049,Protein Shaker,RivalMart,111.08,4.4,2314,2024-03-31
SKU-1049,Protein Shaker,ShopNow,109.18,3.9,413,2024-03-18
SKU-1049,Protein Shaker,BestDeals,105.75,4.0,2040,2024-03-31
SKU-1049,Protein Shaker,QuickCart,102.76,3.1,13,2024-02-22
