Customer ID,Segment,Acquisition Channel,Join Date,Last Order Date,Days Since Last Order,Total Orders,Lifetime Value ($),Avg Order Value ($),Preferred Category,Email Subscriber,Discount Sensitivity,NPS Score,Region,Age Group
CUST-1033,Dormant,Direct,2023-04-04,2023-01-23,343,5,109.32,41.69,Apparel,Yes,Medium,6,West,45-54
CUST-1034,Deal Hunter,Direct,2022-03-17,2023-01-13,353,5,295.93,46.74,Apparel,No,Medium,1,Southeast,25-34
CUST-1035,Occasional Buyer,Referral,2019-07-18,2023-01-15,351,8,352.02,112.6,Beauty & Personal Care,Yes,High,10,Midwest,35-44
CUST-1036,Occasional Buyer,Email Campaign,2023-09-01,2023-01-28,338,4,457.82,145.88,Sports & Outdoors,Yes,Low,9,West,45-54
CUST-1037,Loyal High-Value,Referral,2019-05-05,2023-01-18,348,32,1782.2,124.97,Home & Kitchen,No,Low,2,Northeast,45-54
CUST-1038,Loyal High-Value,Organic Search,2019-07-28,2023-12-13,19,21,2143.63,186.37,Sports & Outdoors,Yes,Medium,6,Southwest,18-24
CUST-1039,At-Risk Churner,Influencer,2023-06-01,2023-12-04,28,8,211.55,109.17,Electronics,Yes,Medium,7,UK,45-54
CUST-1040,At-Risk Churner,Referral,2022-10-15,2023-01-14,352,6,112.41,92.07,Sports & Outdoors,Yes,High,3,Northeast,18-24
CUST-1041,Loyal High-Value,Influencer,2023-09-18,2023-04-10,266,31,2369.26,218.58,Apparel,No,High,4,Midwest,45-54
CUST-1042,New Customer,Paid Social,2019-04-01,2023-01-31,335,2,44.17,31.01,Home & Kitchen,No,Medium,8,Canada,35-44
CUST-1043,Deal Hunter,Email Campaign,2020-12-03,2023-05-30,216,9,173.7,45.43,Electronics,No,High,10,Canada,25-34
CUST-1044,Loyal High-Value,Referral,2023-10-25,2023-01-28,338,19,1915.64,267.03,Home & Kitchen,Yes,Low,10,Southeast,18-24
CUST-1045,Deal Hunter,Direct,2021-08-15,2023-11-04,58,11,433.93,64.74,Home & Kitchen,No,High,5,West,35-44
CUST-1046,New Customer,Referral,2023-06-05,2023-01-22,344,2,41.1,56.34,Apparel,Yes,High,3,Canada,25-34
CUST-1047,New Customer,Direct,2023-07-27,2023-06-19,196,1,51.07,78.77,Beauty & Personal Care,Yes,Medium,2,UK,18-24
CUST-1048,Deal Hunter,Email Campaign,2019-08-24,2023-03-14,293,5,136.87,31.5,Beauty & Personal Care,Yes,High,9,UK,35-44
CUST-1049,Loyal High-Value,Direct,2020-03-24,2023-05-15,231,12,1238.07,156.82,Apparel,Yes,High,3,Southeast,25-34
CUST-1050,Loyal High-Value,Paid Social,2019-02-12,2023-12-13,19,17,2654.34,282.13,Beauty & Personal Care,No,Low,5,Southeast,35-44
CUST-1051,New Customer,Influencer,2019-12-17,2023-09-27,96,1,68.05,49.79,Beauty & Personal Care,No,Low,1,Southeast,25-34
CUST-1052,Occasional Buyer,Referral,2020-10-13,2023-11-03,59,6,496.16,119.44,Apparel,Yes,High,9,Southeast,55+
CUST-1053,Deal Hunter,Paid Social,2023-06-18,2023-05-24,222,9,263.84,32.66,Sports & Outdoors,No,Medium,3,Canada,18-24
CUST-1054,New Customer,Email Campaign,2022-08-14,2023-09-18,105,1,41.77,51.05,Beauty & Personal Care,No,Medium,2,Midwest,35-44
CUST-1055,At-Risk Churner,Influencer,2021-08-28,2023-05-18,228,7,234.66,116.46,Beauty & Personal Care,No,High,10,Northeast,25-34
CUST-1056,Occasional Buyer,Referral,2020-03-23,2023-06-06,209,6,443.85,73.44,Beauty & Personal Care,No,Low,5,Midwest,55+
CUST-1057,Loyal High-Value,Paid Social,2021-11-28,2023-06-30,185,16,2453.57,159.01,Sports & Outdoors,Yes,Medium,8,West,35-44
CUST-1058,New Customer,Email Campaign,2023-07-06,2023-09-12,111,2,80.78,52.72,Home & Kitchen,Yes,Low,2,Southwest,25-34
CUST-1059,Deal Hunter,Influencer,2023-09-22,2023-09-14,109,7,279.55,34.12,Sports & Outdoors,No,Low,4,Southeast,18-24
CUST-1060,Loyal High-Value,Direct,2020-11-14,2023-04-11,265,14,1592.52,209.21,Home & Kitchen,Yes,Medium,10,UK,35-44
CUST-1061,Occasional Buyer,Email Campaign,2023-02-24,2023-10-06,87,5,798.96,125.24,Electronics,Yes,Medium,5,UK,45-54
CUST-1062,New Customer,Referral,2023-04-08,2023-03-18,289,1,81.36,61.01,Apparel,Yes,High,3,Southwest,25-34
CUST-1063,At-Risk Churner,Email Campaign,2023-01-19,2023-08-25,129,6,331.51,100.61,Electronics,Yes,Low,6,UK,45-54
CUST-1064,Occasional Buyer,Influencer,2021-02-06,2023-03-13,294,10,442.48,105.84,Apparel,Yes,High,0,Southwest,35-44
CUST-1065,Deal Hunter,Influencer,2021-04-06,2023-12-20,12,12,309.57,64.29,Home & Kitchen,Yes,High,0,West,18-24
CUST-1066,Occasional Buyer,Influencer,2022-03-09,2023-11-19,43,5,785.21,149.43,Sports & Outdoors,No,Medium,6,Southeast,45-54
CUST-1067,Loyal High-Value,Referral,2020-11-04,2023-10-19,74,29,1650.15,194.96,Home & Kitchen,Yes,Low,1,Canada,55+
CUST-1068,Occasional Buyer,Paid Social,2019-02-24,2023-04-06,270,3,687.21,110.34,Electronics,Yes,Medium,3,Southeast,35-44
CUST-1069,Dormant,Paid Social,2021-11-27,2023-01-06,360,5,41.9,23.45,Home & Kitchen,Yes,Medium,2,Northeast,25-34
CUST-1070,At-Risk Churner,Paid Social,2023-11-08,2023-04-16,260,5,233.04,45.5,Apparel,Yes,Medium,10,Southwest,25-34
CUST-1071,At-Risk Churner,Referral,2021-10-26,2023-12-17,15,6,380.53,87.0,Home & Kitchen,Yes,Low,2,Southwest,18-24
CUST-1072,New Customer,Referral,2023-12-06,2023-09-09,114,1,88.36,92.82,Beauty & Personal Care,No,Low,1,Midwest,45-54
CUST-1073,Deal Hunter,Referral,2023-10-07,2023-03-31,276,14,295.55,71.17,Apparel,Yes,High,6,Southwest,45-54
CUST-1074,Dormant,Paid Social,2022-12-01,2023-01-23,343,2,148.75,25.73,Apparel,Yes,High,8,Midwest,18-24
CUST-1075,Dormant,Organic Search,2023-04-10,2023-10-11,82,2,184.49,44.68,Home & Kitchen,Yes,Low,8,UK,35-44
CUST-1076,New Customer,Organic Search,2019-04-02,2023-08-25,129,2,41.43,36.59,Electronics,No,High,10,Canada,45-54
CUST-1077,New Customer,Organic Search,2021-03-23,2023-01-20,346,2,116.97,88.46,Home & Kitchen,Yes,High,2,Midwest,45-54
CUST-1078,New Customer,Paid Social,2020-05-11,2023-08-13,141,2,28.87,63.87,Beauty & Personal Care,Yes,Low,2,UK,18-24
CUST-1079,At-Risk Churner,Paid Social,2023-02-27,2023-07-20,165,2,136.72,49.93,Electronics,No,Low,10,Midwest,25-34
CUST-1080,New Customer,Paid Social,2022-10-14,2023-09-30,93,2,43.13,77.15,Beauty & Personal Care,No,Low,10,UK,55+
CUST-1081,Dormant,Organic Search,2019-04-18,2023-11-03,59,1,96.41,38.5,Electronics,Yes,Low,3,Midwest,25-34
CUST-1082,Occasional Buyer,Paid Social,2019-01-30,2023-06-22,193,4,160.42,52.79,Electronics,Yes,Low,10,Southeast,25-34
CUST-1083,Loyal High-Value,Direct,2020-10-22,2023-10-15,78,25,1927.5,263.12,Apparel,No,Low,8,Southwest,45-54
CUST-1084,Loyal High-Value,Referral,2019-12-22,2023-01-08,358,19,1270.32,171.32,Home & Kitchen,Yes,Medium,3,Southwest,25-34
CUST-1085,Loyal High-Value,Organic Search,2021-01-25,2023-01-23,343,33,2593.19,229.99,Apparel,Yes,Medium,9,Southwest,18-24
CUST-1086,Dormant,Email Campaign,2022-03-11,2023-03-29,278,5,164.51,75.33,Electronics,No,Medium,10,Canada,45-54
CUST-1087,Dormant,Direct,2022-11-09,2023-06-12,203,2,86.45,58.12,Beauty & Personal Care,Yes,Medium,0,West,55+
CUST-1088,New Customer,Direct,2021-10-28,2023-10-28,65,2,86.43,79.35,Electronics,Yes,Low,9,UK,18-24
CUST-1089,Deal Hunter,Organic Search,2022-06-23,2023-02-10,325,12,468.96,67.86,Apparel,Yes,Medium,4,Southeast,25-34
CUST-1090,New Customer,Referral,2023-01-25,2023-11-03,59,1,103.47,39.05,Home & Kitchen,Yes,Medium,5,Canada,18-24
CUST-1091,At-Risk Churner,Paid Social,2020-08-13,2023-01-13,353,8,392.82,91.84,Home & Kitchen,Yes,Low,3,West,18-24
CUST-1092,Dormant,Referral,2020-03-31,2023-11-08,54,2,166.25,61.78,Sports & Outdoors,Yes,Low,7,Canada,18-24
CUST-1093,Loyal High-Value,Paid Social,2019-04-17,2023-11-21,41,39,1881.61,290.73,Apparel,Yes,Low,2,West,55+
CUST-1094,Occasional Buyer,Paid Social,2021-08-14,2023-06-09,206,6,479.83,92.62,Apparel,Yes,Medium,2,West,25-34
CUST-1095,Deal Hunter,Referral,2020-02-17,2023-05-20,226,14,388.21,78.39,Electronics,Yes,Medium,6,Southeast,45-54
CUST-1096,New Customer,Referral,2023-04-07,2023-03-21,286,2,85.69,78.79,Electronics,Yes,Medium,1,UK,35-44
CUST-1097,At-Risk Churner,Referral,2020-06-10,2023-07-14,171,6,128.9,98.13,Home & Kitchen,Yes,Medium,6,West,55+
CUST-1098,New Customer,Paid Social,2020-02-05,2023-03-21,286,1,63.32,77.19,Electronics,Yes,High,5,Southwest,45-54
CUST-1099,New Customer,Direct,2021-09-29,2023-06-07,208,2,146.16,49.85,Sports & Outdoors,Yes,Medium,0,Northeast,45-54
CUST-1100,At-Risk Churner,Influencer,2020-06-06,2023-06-28,187,3,142.15,74.9,Beauty & Personal Care,No,High,5,Canada,18-24
CUST-1101,Dormant,Organic Search,2020-05-11,2023-09-02,121,4,187.51,64.14,Home & Kitchen,No,High,10,Northeast,25-34
CUST-1102,Deal Hunter,Influencer,2020-05-21,2023-11-05,57,19,572.13,37.37,Apparel,Yes,Low,1,Canada,45-54
CUST-1103,New Customer,Referral,2021-05-16,2023-03-26,281,1,87.41,35.11,Home & Kitchen,No,Medium,8,West,45-54
CUST-1104,At-Risk Churner,Organic Search,2023-01-30,2023-02-15,320,4,314.86,100.2,Sports & Outdoors,Yes,Low,4,Canada,25-34
CUST-1105,Dormant,Organic Search,2019-12-11,2023-09-09,114,4,148.83,20.39,Electronics,Yes,High,6,West,45-54
CUST-1106,Dormant,Direct,2021-02-06,2023-04-06,270,3,154.62,30.24,Apparel,Yes,Medium,2,West,18-24
CUST-1107,New Customer,Email Campaign,2020-01-10,2023-04-09,267,1,44.13,24.72,Beauty & Personal Care,Yes,High,9,Northeast,25-34
CUST-1108,Loyal High-Value,Organic Search,2019-05-12,2023-06-25,190,21,988.56,124.94,Sports & Outdoors,Yes,Medium,7,Canada,18-24
CUST-1109,Loyal High-Value,Organic Search,2022-09-24,2023-10-26,67,13,1385.38,291.04,Electronics,Yes,High,0,Southwest,55+
CUST-1110,At-Risk Churner,Influencer,2023-03-31,2023-06-22,193,8,165.07,78.87,Beauty & Personal Care,Yes,Medium,10,Midwest,35-44
CUST-1111,Occasional Buyer,Email Campaign,2019-04-28,2023-07-02,183,8,582.3,87.84,Electronics,Yes,Medium,6,Canada,25-34
CUST-1112,Loyal High-Value,Email Campaign,2022-12-03,2023-05-08,238,31,1070.37,206.13,Beauty & Personal Care,No,High,10,UK,45-54
CUST-1113,At-Risk Churner,Organic Search,2022-07-30,2023-06-14,201,5,291.27,40.25,Home & Kitchen,Yes,High,5,Canada,45-54
CUST-1114,Occasional Buyer,Referral,2019-06-16,2023-06-28,187,10,410.11,111.26,Beauty & Personal Care,No,High,1,Canada,45-54
CUST-1115,Deal Hunter,Direct,2023-11-30,2023-10-20,73,11,455.97,73.49,Sports & Outdoors,Yes,Low,7,UK,18-24
CUST-1116,Deal Hunter,Direct,2019-08-25,2023-09-04,119,19,184.03,52.31,Sports & Outdoors,Yes,Low,3,Southeast,18-24
CUST-1117,Loyal High-Value,Email Campaign,2020-10-30,2023-07-16,169,25,2985.4,105.84,Apparel,No,Medium,10,Southwest,18-24
CUST-1118,Dormant,Direct,2021-10-04,2023-02-16,319,2,186.87,58.01,Home & Kitchen,Yes,High,9,Northeast,35-44
CUST-1119,New Customer,Paid Social,2023-10-20,2023-08-12,142,2,105.01,82.81,Apparel,Yes,Low,4,Northeast,18-24
CUST-1120,Loyal High-Value,Influencer,2023-03-05,2023-03-01,306,22,2429.28,287.44,Home & Kitchen,Yes,Medium,6,West,18-24
CUST-1121,Deal Hunter,Email Campaign,2021-03-05,2023-08-05,149,6,395.03,39.49,Home & Kitchen,No,Low,8,Canada,55+
CUST-1122,At-Risk Churner,Email Campaign,2023-10-12,2023-08-24,130,3,114.11,40.74,Apparel,Yes,Low,7,Canada,45-54
CUST-1123,Occasional Buyer,Organic Search,2023-06-30,2023-12-26,6,7,244.82,116.54,Sports & Outdoors,Yes,Medium,8,Canada,18-24
CUST-1124,Deal Hunter,Referral,2020-08-19,2023-12-27,5,20,415.54,40.79,Electronics,Yes,Low,3,UK,25-34
CUST-1125,Dormant,Direct,2023-10-21,2023-09-07,116,1,186.94,66.56,Beauty & Personal Care,Yes,High,2,Northeast,55+
CUST-1126,New Customer,Referral,2020-12-14,2023-07-20,165,2,74.92,57.87,Electronics,No,High,4,Midwest,25-34
CUST-1127,Dormant,Organic Search,2023-03-21,2023-10-25,68,5,96.94,27.85,Home & Kitchen,Yes,High,2,West,25-34
CUST-1128,New Customer,Direct,2020-03-22,2023-04-11,265,2,57.84,31.59,Electronics,Yes,High,9,Northeast,25-34
CUST-1129,New Customer,Email Campaign,2019-04-26,2023-02-19,316,2,108.33,33.46,Beauty & Personal Care,Yes,Low,1,West,35-44
CUST-1130,At-Risk Churner,Organic Search,2021-04-07,2023-05-06,240,5,390.31,90.16,Electronics,Yes,Medium,7,Midwest,55+
CUST-1131,Occasional Buyer,Organic Search,2022-10-05,2023-12-04,28,9,654.3,149.12,Beauty & Personal Care,No,Medium,4,Canada,45-54
CUST-1132,Deal Hunter,Direct,2021-09-28,2023-11-25,37,5,160.0,34.13,Sports & Outdoors,Yes,Low,9,West,55+
CUST-1133,New Customer,Referral,2022-04-29,2023-04-03,273,2,110.18,27.56,Beauty & Personal Care,No,High,6,Midwest,55+
CUST-1134,Occasional Buyer,Paid Social,2023-11-01,2023-10-03,90,4,361.4,121.38,Beauty & Personal Care,No,Low,6,West,55+
CUST-1135,At-Risk Churner,Organic Search,2022-01-08,2023-11-30,32,5,100.46,106.97,Apparel,No,Low,2,UK,55+
CUST-1136,Dormant,Organic Search,2020-10-05,2023-03-04,303,2,30.91,46.83,Apparel,No,Low,10,Southeast,18-24
CUST-1137,At-Risk Churner,Email Campaign,2019-09-13,2023-09-17,106,4,352.46,42.8,Home & Kitchen,No,Low,6,Canada,18-24
CUST-1138,Occasional Buyer,Direct,2023-05-23,2023-05-31,215,7,180.01,144.58,Sports & Outdoors,Yes,Low,9,Southwest,35-44
CUST-1139,At-Risk Churner,Direct,2022-11-09,2023-02-20,315,4,273.98,80.85,Electronics,Yes,Low,3,Southeast,35-44
CUST-1140,Occasional Buyer,Paid Social,2021-01-05,2023-05-23,223,5,541.39,71.6,Sports & Outdoors,Yes,Low,8,Midwest,35-44
CUST-1141,New Customer,Referral,2020-06-04,2023-12-13,19,1,72.01,26.66,Apparel,No,Low,1,Canada,35-44
CUST-1142,Dormant,Influencer,2022-08-19,2023-09-19,104,2,151.46,53.82,Apparel,Yes,Low,5,UK,45-54
CUST-1143,New Customer,Influencer,2020-07-07,2023-03-05,302,1,145.32,39.8,Electronics,No,High,6,Northeast,35-44
CUST-1144,Dormant,Paid Social,2020-07-13,2023-03-16,291,1,91.68,40.01,Home & Kitchen,Yes,Low,6,Southeast,45-54
CUST-1145,Loyal High-Value,Influencer,2023-01-31,2023-06-06,209,37,2836.4,135.15,Beauty & Personal Care,Yes,High,5,Canada,55+
CUST-1146,Deal Hunter,Referral,2019-12-16,2023-06-12,203,13,403.73,74.83,Apparel,Yes,High,10,UK,55+
CUST-1147,At-Risk Churner,Email Campaign,2022-04-28,2023-03-07,300,6,362.25,72.21,Electronics,No,High,2,Canada,25-34
CUST-1148,Occasional Buyer,Email Campaign,2023-01-25,2023-11-24,38,9,518.91,76.74,Apparel,No,High,6,Canada,45-54
CUST-1149,Occasional Buyer,Email Campaign,2021-10-25,2023-05-27,219,10,791.06,129.85,Beauty & Personal Care,No,High,3,Midwest,18-24
CUST-1150,Deal Hunter,Organic Search,2022-07-23,2023-02-10,325,18,485.29,72.26,Apparel,Yes,Low,9,Northeast,18-24
CUST-1151,Dormant,Referral,2023-11-26,2023-01-06,360,3,124.21,49.57,Sports & Outdoors,No,Low,7,Southwest,55+
CUST-1152,Dormant,Direct,2022-06-16,2023-04-08,268,5,148.64,44.33,Electronics,No,Medium,8,Canada,35-44
CUST-1153,Occasional Buyer,Direct,2021-07-07,2023-03-28,279,11,594.65,54.24,Sports & Outdoors,Yes,Low,1,Midwest,25-34
CUST-1154,At-Risk Churner,Email Campaign,2021-02-15,2023-03-29,278,4,384.79,73.82,Electronics,Yes,High,3,UK,55+
CUST-1155,Loyal High-Value,Direct,2020-03-12,2023-01-02,364,21,1458.19,158.71,Sports & Outdoors,Yes,Low,4,Canada,55+
CUST-1156,Loyal High-Value,Organic Search,2019-04-28,2023-07-02,183,26,2763.49,269.67,Sports & Outdoors,Yes,Medium,4,Midwest,18-24
CUST-1157,Loyal High-Value,Organic Search,2020-12-27,2023-01-05,361,23,2758.43,137.23,Beauty & Personal Care,Yes,Low,1,West,55+
CUST-1158,Occasional Buyer,Email Campaign,2019-11-15,2023-12-03,29,9,230.5,98.74,Apparel,Yes,Medium,5,Midwest,35-44
CUST-1159,New Customer,Referral,2021-06-17,2023-12-03,29,1,89.74,41.56,Apparel,Yes,Medium,6,Northeast,35-44
CUST-1160,Dormant,Referral,2019-10-01,2023-07-22,163,2,48.81,37.09,Home & Kitchen,Yes,Low,10,Southeast,45-54
CUST-1161,Dormant,Direct,2021-10-11,2023-12-16,16,3,50.19,49.34,Apparel,Yes,Medium,8,Canada,45-54
CUST-1162,Occasional Buyer,Email Campaign,2019-09-16,2023-03-21,286,4,772.49,129.27,Sports & Outdoors,Yes,High,3,Northeast,35-44
CUST-1163,New Customer,Referral,2021-09-22,2023-02-12,323,1,76.46,43.16,Apparel,No,Low,8,Southeast,25-34
CUST-1164,Deal Hunter,Referral,2020-05-21,2023-12-08,24,8,532.08,79.71,Apparel,Yes,High,1,Canada,55+
CUST-1165,At-Risk Churner,Paid Social,2022-07-12,2023-11-21,41,3,140.37,108.39,Apparel,Yes,Low,6,Northeast,35-44
CUST-1166,Occasional Buyer,Referral,2019-07-06,2023-01-27,339,5,427.1,111.65,Beauty & Personal Care,No,Medium,10,Southeast,25-34
CUST-1167,Deal Hunter,Email Campaign,2022-08-11,2023-01-27,339,18,339.6,55.49,Electronics,Yes,Medium,4,Midwest,45-54
CUST-1168,Occasional Buyer,Direct,2019-01-02,2023-01-27,339,8,731.82,68.18,Home & Kitchen,Yes,Medium,7,Midwest,55+
CUST-1169,Loyal High-Value,Email Campaign,2021-01-14,2023-06-21,194,25,1206.65,289.67,Electronics,Yes,High,0,Canada,55+
CUST-1170,Occasional Buyer,Influencer,2023-03-02,2023-10-29,64,8,384.37,131.0,Sports & Outdoors,Yes,Low,10,Midwest,25-34
CUST-1171,At-Risk Churner,Organic Search,2022-07-13,2023-11-05,57,5,107.91,48.51,Electronics,No,High,3,Southeast,45-54
CUST-1172,Loyal High-Value,Paid Social,2020-09-09,2023-08-31,123,14,2872.0,223.8,Sports & Outdoors,No,Low,0,Southeast,25-34
CUST-1173,New Customer,Email Campaign,2023-09-29,2023-10-14,79,2,135.91,80.75,Home & Kitchen,Yes,High,1,Southwest,18-24
CUST-1174,New Customer,Paid Social,2023-06-08,2023-01-12,354,2,88.09,96.2,Sports & Outdoors,Yes,High,2,Midwest,18-24
CUST-1175,At-Risk Churner,Referral,2023-02-25,2023-07-23,162,2,334.2,95.5,Sports & Outdoors,No,Low,2,Southwest,55+
CUST-1176,New Customer,Paid Social,2020-01-12,2023-01-02,364,2,72.11,41.72,Sports & Outdoors,Yes,High,0,UK,55+
CUST-1177,New Customer,Influencer,2022-12-21,2023-05-18,228,2,59.44,37.63,Electronics,Yes,Low,0,West,25-34
CUST-1178,Deal Hunter,Email Campaign,2020-07-22,2023-03-10,297,6,419.81,77.1,Electronics,No,Low,3,West,18-24
CUST-1179,Loyal High-Value,Organic Search,2021-01-25,2023-06-16,199,32,1564.42,221.03,Sports & Outdoors,Yes,High,2,Southwest,55+
CUST-1180,Deal Hunter,Paid Social,2019-01-22,2023-07-02,183,15,592.63,61.3,Home & Kitchen,Yes,Medium,0,West,55+
CUST-1181,Loyal High-Value,Direct,2022-09-01,2023-05-12,234,35,2440.69,176.4,Sports & Outdoors,No,Low,7,Southeast,35-44
CUST-1182,Deal Hunter,Paid Social,2023-03-22,2023-07-22,163,11,390.83,70.39,Beauty & Personal Care,Yes,High,6,Midwest,25-34
CUST-1183,New Customer,Paid Social,2023-07-29,2023-04-01,275,1,84.47,56.75,Sports & Outdoors,Yes,High,2,Canada,35-44
CUST-1184,Loyal High-Value,Influencer,2021-03-18,2023-12-18,14,21,1158.42,135.55,Apparel,Yes,Low,1,Southwest,25-34
CUST-1185,New Customer,Influencer,2023-01-28,2023-01-07,359,2,33.03,62.14,Electronics,Yes,Medium,0,Northeast,18-24
CUST-1186,Dormant,Direct,2020-07-02,2023-03-15,292,1,52.47,66.21,Sports & Outdoors,Yes,Low,1,West,35-44
CUST-1187,Dormant,Paid Social,2022-02-26,2023-08-16,138,1,64.39,48.83,Home & Kitchen,Yes,Medium,2,Southeast,18-24
CUST-1188,At-Risk Churner,Organic Search,2019-02-13,2023-01-23,343,7,165.59,83.49,Sports & Outdoors,Yes,Low,8,UK,45-54
CUST-1189,Occasional Buyer,Paid Social,2021-05-24,2023-07-17,168,3,742.91,52.4,Home & Kitchen,No,Medium,3,Canada,45-54
CUST-1190,Dormant,Email Campaign,2020-04-04,2023-02-22,313,1,113.61,79.45,Home & Kitchen,Yes,High,5,Northeast,35-44
CUST-1191,Loyal High-Value,Email Campaign,2021-05-27,2023-09-29,94,40,895.36,130.22,Sports & Outdoors,Yes,High,6,Southeast,35-44
CUST-1192,At-Risk Churner,Direct,2020-07-09,2023-09-13,110,8,171.84,110.03,Home & Kitchen,Yes,High,1,UK,18-24
CUST-1193,Occasional Buyer,Organic Search,2023-01-17,2023-09-02,121,5,358.17,89.06,Electronics,No,Medium,4,Southeast,18-24
CUST-1194,Deal Hunter,Referral,2020-10-15,2023-09-11,112,9,190.94,49.25,Beauty & Personal Care,No,Medium,9,UK,35-44
CUST-1195,Occasional Buyer,Referral,2022-01-08,2023-10-01,92,6,399.07,104.93,Sports & Outdoors,No,Low,6,Northeast,55+
CUST-1196,Dormant,Direct,2023-07-20,2023-04-23,253,4,119.58,66.6,Electronics,Yes,Medium,0,Southeast,18-24
